Serial Number,Roll_Num,Uni_ID,Student Name, AML3201, CSL2301, CSL3307, CSL4207, CSL4208, CSL4305, CSL4318, CSL4336, CSL5210, CSP2301, ECL3311, GEW1601, GEW1603, GEW1604, GEW1605, GEW1607, GEW1608, GEW1609, GEW1610, GEW1611, GEW1613, AMP1201, CSP1307, CSP2210, ECP1311,Total
 1,10123411,20012001,AAA AAA1, , 81.82, , 91.55, 87.72, , 83.33, 76.74, , 88.89, , , , , , , , , , , , , , , , 83.87
 2,10123412,20012002,AAA AAA2, 93.33, 90, , 77.19, 86.21, , , , 86.67, 87.1, , , , , , , , , , 100, , 86.67, , 81.97, , 85.56
 3,10123413,20012003,AAA AAA3, 71.11, 76.67, , 75.44, 74.14, , , , 80, 80.65, , , , , 100, , , , , , , 86.67, , 75.41, , 77.56
 4,10123414,20012004,AAA AAA4, , 78.79, , 81.69, 85.96, , 86.67, 86.05, , 85.19, , , , , , , , , , , , , , , , 84.79
 5,10123415,20012005,AAA AAA5, , 78.79, , 85.92, 82.46, , 93.33, 81.4, , 81.48, , , , , , , , , , , , , , , , 84.56
 6,10123416,20012006,AAA AAA6, 84.44, 83.33, , 75.44, 86.21, , , , 80, 87.1, , , , , , , , , , 100, , 86.67, , 77.05, , 82.22
 7,10123417,20012007,AAA AAA7, 73.33, 76.67, , 75.44, 75.86, , , , 73.33, 80.65, , , , , , , , , , , 100, 80, , 70.49, , 75.78
 8,10123418,20012008,AAA AAA8, 86.67, 73.33, , 77.19, 77.59, , , , 80, 83.87, , , , , , , , , , 100, , 73.33, , 73.77, , 78.67
 9,10123419,20012009,AAA AAA9, 84.44, 86.67, , 75.44, 82.76, , , , 86.67, 87.1, , , , , 100, , , , , , , 80, , 77.05, , 82
 10,10123420,20012010,AAA AAA10, 82.22, 76.67, , 80.7, 82.76, , , , 86.67, 85.48, , , , , 100, , , , , , , 80, , 73.77, , 80.67
 11,10123421,20012011,AAA AAA11, 86.67, 86.67, , 73.68, 84.48, , , , 93.33, 83.87, , , , , 100, , , , , , , 80, , 77.05, , 82.22
 12,10123422,20012012,AAA AAA12, 88.89, 80, , 80.7, 82.76, , , , 86.67, 90.32, , , , , , , , , , 100, , 93.33, , 86.89, , 86.67
 13,10123423,20012013,AAA AAA13, 86.67, 80, , 75.44, 79.31, , , , 80, 83.87, , , , , 100, , , , , , , 86.67, , 75.41, , 80.44
 14,10123424,20012014,AAA AAA14, 75.56, 73.33, , 73.68, 74.14, , , , 80, 77.42, , , , , , , 100, , , , , 66.67, , 68.85, , 74
 15,10123425,20012015,AAA AAA15, 93.33, 96.67, , 87.72, 89.66, , , , 100, 90.32, , , , , , , , , 100, , , 86.67, , 86.89, , 90.44
 16,10123426,20012016,AAA AAA16, , 81.82, , 80.28, 77.19, , 76.67, 76.74, , 79.63, , , , , , , , , , , , , , , , 78.11
 17,10123427,20012017,AAA AAA17, , 90.91, , 100, 91.23, , 100, 83.72, , 94.44, , , , , , , , , , , , , , , , 92.63
 18,10123428,20012018,AAA AAA18, , 78.79, , 88.73, 78.95, , 83.33, 81.4, , 81.48, , , , , , , , , , , , , , , , 82.49
 19,10123429,20012019,AAA AAA19, 100, 93.33, , 94.74, 94.83, , , , 93.33, 96.77, , , , , 100, , , , , , , 100, , 96.72, , 96.44
 20,10123430,20012020,AAA AAA20, , 81.82, , 83.1, 84.21, , 93.33, 83.72, , 74.07, , , , , , , , , , , , , , , , 84.33
 21,10123431,20012021,AAA AAA21, 86.67, 80, , 78.95, 82.76, , , , 86.67, 80.65, , , , , 100, , , , , , , 86.67, , 80.33, , 82.67
 22,10123432,20012022,AAA AAA22, 71.11, 76.67, , 70.18, 68.97, , , , 80, 77.42, , , , 100, , , , , , , , 73.33, , 72.13, , 74
 23,10123433,20012023,AAA AAA23, 73.33, 76.67, , 73.68, 70.69, , , , 80, 77.42, , , , , , , , , 87.5, , , 76.67, , 73.77, , 75.11
 24,10123434,20012024,AAA AAA24, 82.22, 86.67, , 71.93, 79.31, , , , 80, 87.1, , , , , , , , , 100, , , 73.33, , 73.77, , 79.11
 25,10123435,20012025,AAA AAA25, 86.67, 76.67, , 75.44, 81.03, , , , 76.67, 79.03, , , , , , , , , , 100, , 86.67, , 75.41, , 79.56
 26,10123436,20012026,AAA AAA26, 80, 80, , 75.44, 81.03, , , , 86.67, 77.42, , , , , , , , , 100, , , 86.67, , 74.59, , 79.33
 27,10123437,20012027,AAA AAA27, 75.56, 83.33, , 77.19, 75.86, , , , 80, 77.42, , , 100, , , , , , , , , 86.67, , 78.69, , 79.33
 28,10123438,20012028,AAA AAA28, 75.56, 76.67, , 75.44, 75.86, , , , 80, 77.42, , , 100, , , , , , , , , 83.33, , 75.41, , 77.56
