,Serial Number,Roll_Num,Uni_ID,Student Name,AML3201,CSL2301,CSL3307,CSL4207,CSL4208,CSL4305,CSL4318,CSL4336,CSL5210,CSP2301,ECL3311,GEW1601,GEW1603,GEW1604,GEW1605,GEW1607,GEW1608,GEW1609,GEW1610,GEW1611,GEW1613,AMP1201,CSP1307,CSP2210,ECP1311,Total
2, 3,10123413,20012003,AAA AAA3,71.11,76.67,,75.44,74.14,,,,80.0,80.65,,,,,100.0,,,,,,,86.67,,75.41,,77.56
6, 7,10123417,20012007,AAA AAA7,73.33,76.67,,75.44,75.86,,,,73.33,80.65,,,,,,,,,,,100.0,80.0,,70.49,,75.78
7, 8,10123418,20012008,AAA AAA8,86.67,73.33,,77.19,77.59,,,,80.0,83.87,,,,,,,,,,100.0,,73.33,,73.77,,78.67
10, 11,10123421,20012011,AAA AAA11,86.67,86.67,,73.68,84.48,,,,93.33,83.87,,,,,100.0,,,,,,,80.0,,77.05,,82.22
13, 14,10123424,20012014,AAA AAA14,75.56,73.33,,73.68,74.14,,,,80.0,77.42,,,,,,,100.0,,,,,66.67,,68.85,,74.0
19, 20,10123430,20012020,AAA AAA20,,81.82,,83.1,84.21,,93.33,83.72,,74.07,,,,,,,,,,,,,,,,84.33
21, 22,10123432,20012022,AAA AAA22,71.11,76.67,,70.18,68.97,,,,80.0,77.42,,,,100.0,,,,,,,,73.33,,72.13,,74.0
22, 23,10123433,20012023,AAA AAA23,73.33,76.67,,73.68,70.69,,,,80.0,77.42,,,,,,,,,87.5,,,76.67,,73.77,,75.11
23, 24,10123434,20012024,AAA AAA24,82.22,86.67,,71.93,79.31,,,,80.0,87.1,,,,,,,,,100.0,,,73.33,,73.77,,79.11
28, 29,10123439,20012029,AAA AAA29,75.56,73.33,,77.19,75.86,,,,76.67,75.81,,,,,,100.0,,,,,,80.0,,76.23,,77.11
29, 30,10123440,20012030,AAA AAA30,75.56,80.0,,75.44,72.41,,,,73.33,75.81,,,,,,,,,87.5,,,83.33,,72.13,,75.33
30, 31,10123441,20012031,AAA AAA31,71.11,73.33,,71.93,72.41,,,,60.0,74.19,,,87.5,,,,,,,,,73.33,,70.49,,71.78
31, 32,10123442,20012032,AAA AAA32,84.44,76.67,,77.19,72.41,,,,80.0,83.87,,,,,,,87.5,,,,,73.33,,75.41,,78.0
35, 36,10123446,20012036,AAA AAA36,80.0,80.0,,74.55,85.71,,,,75.0,85.71,,,,,100.0,,,,,,,86.67,,74.58,,80.14
40, 41,10123451,20012041,AAA AAA41,48.89,50.0,,52.73,64.29,,,,62.5,64.29,,,,100.0,,,,,,,,66.67,,38.98,,54.79
44, 45,10123455,20012045,AAA AAA45,75.56,80.0,,74.55,75.0,,,,75.0,76.79,,,,100.0,,,,,,,,80.0,,74.58,,76.71
52, 53,10123463,20012053,AAA AAA53,75.56,76.67,,76.36,64.29,,,,75.0,78.57,,,75.0,,,,,,,,,86.67,,71.19,,74.2
53, 54,10123464,20012054,AAA AAA54,46.67,40.0,,45.45,42.86,,,,37.5,62.5,,,,,,,75.0,,,,,60.0,,54.24,,50.91
54, 55,10123465,20012055,AAA AAA55,,75.76,,85.92,89.47,,100.0,74.42,,77.78,,,,,,,,,,,,,,,,84.1
62, 63,10123473,20012063,AAA AAA63,77.78,80.0,,76.36,85.71,,,,68.75,92.86,,,,,100.0,,,,,,,80.0,,76.27,,80.59
